Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MIT326,101,ELECTRONIC MEDICAL RECORD DES,Face-to-Face,3.0,Saturday,13:15:00,17:20:00
MIT460,101,ECONOMICS OF AGING,Face-to-Face,3.0,Monday,18:00:00,22:05:00
