Course,Section,Title,DeliveryMode,Credits,Day,StartTime,EndTime
MRFRSH,001,ANTICIPATED FT STATUS- BILLING,Face-to-Face,12.0,,,
MRGLBL,001,STUDY ABROAD PROVIDER PROGRAM,,0.0,,,
MRGRAD,001,MAINTAINING REGISTRATION,Face-to-Face,0.0,,,
MRINTL,001,STUDY ABROAD,,12.0,,,
MRMIL,001,MAINTAINING REGISTRATION,,0.0,,,
MRREG,001,MAINTAINING REGISTRATION,Face-to-Face,0.0,,,
